# KiDS DR4 observations table
#
# The comma-separated values below provide the same information as the
# "Observations table" at: http://kids.strw.leidenuniv.nl/DR4/data_table.php
#
# Columns:
# 1: Tile name
# 2: Right ascension (degr, J2000)
# 3: Declination (degr, J2000)
# 4: Filter
# 5: Date (start of observation, UT)
# 6: Average PSF FWHM (arcsec, measured from coadd)
# 7: Average PSF ellipticity (measured from coadd)
# 8: Limiting magnitude (5 sigma, 2 arcsec aperture, measured from coadd)
#
KIDS_190.5_2.5,190.529,2.478,g,2017-04-01 01:46:40,1.14,0.10,25.11
KIDS_207.0_-1.5,207.000,-1.489,u,2017-05-28 02:30:58,1.09,0.05,24.36
KIDS_207.0_-1.5,207.000,-1.489,i,2015-07-30 01:21:41,0.72,0.07,23.33
KIDS_205.0_1.5,205.000,1.489,u,2017-03-26 05:39:51,0.79,0.06,24.31
KIDS_214.6_2.5,214.596,2.478,g,2015-04-16 03:17:38,0.78,0.13,25.00
KIDS_214.6_2.5,214.596,2.478,r,2014-04-28 05:01:52,0.62,0.09,24.93
KIDS_214.6_2.5,214.596,2.478,i,2013-02-25 05:31:08,0.81,0.09,23.21
KIDS_191.0_0.5,191.000,0.500,u,2016-02-08 06:53:57,0.77,0.07,24.14
KIDS_191.0_0.5,191.000,0.500,g,2016-02-06 06:33:55,0.84,0.07,25.09
KIDS_191.0_0.5,191.000,0.500,i,2014-02-12 05:26:47,1.18,0.08,23.73
KIDS_157.0_-1.5,157.000,-1.489,u,2016-05-06 23:56:29,1.24,0.05,24.29
KIDS_157.0_-1.5,157.000,-1.489,r,2016-05-01 00:06:20,0.85,0.07,24.98
KIDS_157.0_-1.5,157.000,-1.489,i,2015-06-05 00:37:54,1.01,0.05,23.75
KIDS_201.0_-0.5,201.000,-0.500,u,2016-04-14 05:17:05,0.75,0.09,24.14
KIDS_210.0_0.5,210.000,0.500,r,2016-03-10 06:52:15,0.69,0.08,25.06
KIDS_210.0_0.5,210.000,0.500,i,2014-02-12 07:15:55,0.77,0.08,23.83
KIDS_138.0_1.5,138.000,1.489,u,2013-04-11 00:58:25,0.95,0.05,24.15
KIDS_138.0_1.5,138.000,1.489,g,2014-04-04 02:26:59,1.03,0.07,25.11
KIDS_138.0_1.5,138.000,1.489,r,2014-02-23 02:28:38,0.88,0.09,25.05
KIDS_138.0_1.5,138.000,1.489,i,2012-05-08 01:02:30,0.83,0.07,23.40
KIDS_140.0_-1.5,140.000,-1.489,u,2012-02-22 04:47:38,1.13,0.04,24.57
KIDS_140.0_-1.5,140.000,-1.489,g,2012-02-23 02:12:42,0.80,0.11,25.08
KIDS_140.0_-1.5,140.000,-1.489,r,2012-12-21 06:40:22,0.57,0.08,25.10
KIDS_140.0_-1.5,140.000,-1.489,i,2012-02-03 03:34:36,0.95,0.06,23.92
KIDS_186.5_2.5,186.518,2.478,u,2013-02-21 07:57:16,1.05,0.05,24.37
KIDS_186.5_2.5,186.518,2.478,g,2015-01-27 07:31:50,0.96,0.06,25.09
KIDS_186.5_2.5,186.518,2.478,r,2013-05-30 23:56:53,0.63,0.08,24.92
KIDS_186.5_2.5,186.518,2.478,i,2012-07-07 01:18:48,0.70,0.08,23.45
KIDS_169.5_-2.5,169.471,-2.478,u,2017-05-16 00:04:08,0.90,0.05,24.29
KIDS_169.5_-2.5,169.471,-2.478,g,2017-02-20 07:40:22,0.71,0.09,24.74
KIDS_169.5_-2.5,169.471,-2.478,r,2017-05-27 23:22:54,0.71,0.06,24.86
KIDS_169.5_-2.5,169.471,-2.478,i,2016-06-19 00:45:43,0.61,0.07,23.59
KIDS_137.0_1.5,137.000,1.489,u,2013-04-29 00:14:44,0.81,0.06,24.12
KIDS_137.0_1.5,137.000,1.489,g,2014-02-24 03:00:32,0.98,0.08,25.07
KIDS_137.0_1.5,137.000,1.489,r,2014-01-29 06:14:14,0.60,0.07,25.03
KIDS_137.0_1.5,137.000,1.489,i,2012-06-05 23:48:01,0.78,0.07,23.49
KIDS_161.4_2.5,161.448,2.478,u,2016-12-27 07:44:29,1.13,0.05,24.24
KIDS_161.4_2.5,161.448,2.478,g,2016-12-28 06:09:31,0.96,0.11,25.11
KIDS_161.4_2.5,161.448,2.478,r,2016-12-28 07:15:02,0.87,0.07,25.17
KIDS_161.4_2.5,161.448,2.478,i,2015-06-05 01:06:23,1.32,0.05,23.69
KIDS_134.0_0.5,134.000,0.500,u,2014-01-06 08:00:07,1.17,0.05,24.31
KIDS_134.0_0.5,134.000,0.500,g,2014-03-01 03:40:23,0.64,0.08,25.10
KIDS_134.0_0.5,134.000,0.500,r,2014-02-21 01:58:54,0.80,0.07,25.11
KIDS_134.0_0.5,134.000,0.500,i,2012-05-08 00:28:16,0.83,0.07,23.48
KIDS_221.0_-1.5,221.000,-1.489,u,2014-03-28 07:09:11,0.99,0.06,24.10
KIDS_221.0_-1.5,221.000,-1.489,g,2015-07-08 23:26:54,0.72,0.08,25.15
KIDS_221.0_-1.5,221.000,-1.489,r,2014-03-26 08:05:50,0.66,0.09,24.89
KIDS_221.0_-1.5,221.000,-1.489,i,2013-02-26 08:42:49,1.18,0.05,23.40
KIDS_179.0_-0.5,179.000,-0.500,u,2012-05-16 02:08:01,1.14,0.05,24.11
KIDS_179.0_-0.5,179.000,-0.500,g,2013-02-13 07:29:47,0.72,0.07,25.09
KIDS_179.0_-0.5,179.000,-0.500,r,2013-02-19 06:57:44,0.63,0.09,24.94
KIDS_179.0_-0.5,179.000,-0.500,i,2012-12-27 06:53:24,1.20,0.06,24.02
KIDS_138.0_-0.5,138.000,-0.500,u,2013-12-31 06:27:56,0.94,0.05,24.12
KIDS_138.0_-0.5,138.000,-0.500,g,2014-02-28 01:11:20,0.74,0.08,24.98
KIDS_138.0_-0.5,138.000,-0.500,r,2014-01-07 07:03:04,0.75,0.06,25.09
KIDS_138.0_-0.5,138.000,-0.500,i,2012-05-05 02:11:25,0.85,0.06,23.15
KIDS_183.0_-1.5,183.000,-1.489,u,2012-04-23 02:36:07,1.01,0.08,24.22
KIDS_183.0_-1.5,183.000,-1.489,g,2012-05-21 01:28:25,0.85,0.07,25.12
KIDS_183.0_-1.5,183.000,-1.489,r,2013-02-18 07:53:09,0.62,0.08,25.03
KIDS_183.0_-1.5,183.000,-1.489,i,2014-07-18 23:30:08,1.03,0.08,24.02
KIDS_219.0_-1.5,219.000,-1.489,u,2012-06-17 03:06:27,1.19,0.06,24.11
KIDS_219.0_-1.5,219.000,-1.489,g,2013-06-06 03:19:57,0.96,0.08,25.19
KIDS_219.0_-1.5,219.000,-1.489,r,2013-03-09 08:46:00,0.81,0.07,25.06
KIDS_219.0_-1.5,219.000,-1.489,i,2012-06-06 05:34:42,1.01,0.08,23.67
KIDS_204.0_-1.5,204.000,-1.489,u,2017-05-01 04:55:13,1.06,0.09,24.20
KIDS_204.0_-1.5,204.000,-1.489,g,2017-06-19 00:53:13,0.89,0.06,25.18
KIDS_204.0_-1.5,204.000,-1.489,r,2017-02-22 08:31:15,0.70,0.08,24.96
KIDS_204.0_-1.5,204.000,-1.489,i,2015-03-31 04:27:03,0.67,0.08,23.71
KIDS_157.0_1.5,157.000,1.489,u,2016-02-03 06:06:30,0.78,0.07,24.15
KIDS_157.0_1.5,157.000,1.489,g,2015-12-11 07:17:24,1.23,0.09,25.08
KIDS_157.0_1.5,157.000,1.489,r,2016-02-14 03:40:13,0.78,0.07,25.01
KIDS_157.0_1.5,157.000,1.489,i,2014-03-22 04:03:30,0.77,0.07,23.73
KIDS_175.5_-2.5,175.487,-2.478,u,2014-01-28 08:11:48,1.14,0.04,24.21
KIDS_175.5_-2.5,175.487,-2.478,g,2015-01-22 07:25:56,0.76,0.07,25.12
KIDS_175.5_-2.5,175.487,-2.478,r,2014-02-26 04:06:26,0.81,0.08,24.85
KIDS_175.5_-2.5,175.487,-2.478,i,2013-01-26 06:46:23,0.78,0.07,23.62
KIDS_233.0_-0.5,233.000,-0.500,u,2016-04-16 07:24:31,0.77,0.06,24.34
KIDS_233.0_-0.5,233.000,-0.500,g,2015-07-19 02:29:35,0.75,0.10,24.48
KIDS_233.0_-0.5,233.000,-0.500,r,2015-07-17 02:10:04,0.69,0.07,25.12
KIDS_233.0_-0.5,233.000,-0.500,i,2014-07-14 03:56:58,0.87,0.08,23.42
KIDS_201.0_-0.5,201.000,-0.500,g,2016-02-05 07:39:38,1.05,0.08,25.13
KIDS_201.0_-0.5,201.000,-0.500,r,2016-02-14 06:54:52,0.62,0.09,24.92
KIDS_159.0_1.5,159.000,1.489,r,2016-03-30 01:00:33,0.79,0.07,24.92
KIDS_159.0_1.5,159.000,1.489,i,2014-04-16 03:23:29,-99.00,-99.00,-99.00
KIDS_208.0_0.5,208.000,0.500,u,2016-03-06 07:09:41,1.14,0.05,24.23
KIDS_208.0_0.5,208.000,0.500,g,2016-03-05 07:56:43,0.91,0.09,25.06
KIDS_163.0_1.5,163.000,1.489,i,2014-04-16 23:56:19,0.74,0.08,23.60
KIDS_165.0_0.5,165.000,0.500,u,2015-01-20 07:05:53,0.81,0.05,24.25
KIDS_165.0_0.5,165.000,0.500,g,2015-02-13 07:07:40,1.06,0.05,24.68
KIDS_165.0_0.5,165.000,0.500,r,2015-06-16 23:15:24,0.50,0.08,24.77
KIDS_173.5_2.5,173.482,2.478,u,2013-06-02 23:06:12,1.07,0.06,24.13
KIDS_229.6_2.5,229.638,2.478,i,2015-04-02 06:39:38,1.00,0.10,23.55
KIDS_138.0_0.5,138.000,0.500,r,2014-02-23 01:45:40,0.73,0.08,25.04
KIDS_209.0_1.5,209.000,1.489,u,2017-02-05 08:32:26,0.69,0.07,24.31
KIDS_209.0_1.5,209.000,1.489,i,2014-03-14 07:35:25,0.91,0.06,23.67
KIDS_136.0_-1.5,136.000,-1.489,g,2013-05-29 23:18:08,1.05,0.06,25.02
KIDS_169.0_-0.5,169.000,-0.500,g,2016-01-08 05:43:39,1.14,0.07,25.15
KIDS_169.0_-0.5,169.000,-0.500,r,2016-02-04 06:27:50,0.70,0.06,25.03
KIDS_169.0_-0.5,169.000,-0.500,i,2015-05-31 23:24:25,0.82,0.06,23.66
KIDS_135.0_1.5,135.000,1.489,u,2013-01-08 05:39:14,0.97,0.04,24.34
KIDS_214.6_-2.5,214.596,-2.478,g,2015-07-09 01:54:08,1.05,0.06,25.09
KIDS_225.0_-0.5,225.000,-0.500,u,2015-07-18 00:45:28,1.03,0.05,24.22
KIDS_225.0_-0.5,225.000,-0.500,i,2014-07-26 02:15:00,0.63,0.08,24.27
KIDS_164.0_0.5,164.000,0.500,u,2015-01-19 07:57:06,1.11,0.05,24.27
KIDS_164.0_0.5,164.000,0.500,r,2015-04-12 02:49:13,0.72,0.08,24.78
KIDS_164.0_0.5,164.000,0.500,i,2013-04-27 04:34:21,0.86,0.08,23.22
KIDS_178.0_1.5,178.000,1.489,g,2013-06-06 00:10:28,1.19,0.08,25.03
KIDS_178.0_1.5,178.000,1.489,r,2013-04-17 03:22:40,0.82,0.08,24.82
KIDS_177.0_-1.5,177.000,-1.489,g,2012-04-18 03:24:22,-99.00,-99.00,-99.00
KIDS_186.0_0.5,186.000,0.500,u,2012-03-19 03:53:28,0.87,0.06,24.18
KIDS_186.0_0.5,186.000,0.500,g,2013-03-18 06:11:18,0.86,0.07,24.99
KIDS_186.0_0.5,186.000,0.500,r,2012-05-18 02:37:44,0.69,0.07,24.78
KIDS_186.0_0.5,186.000,0.500,i,2015-12-26 07:31:54,0.69,0.13,23.45
KIDS_200.0_1.5,200.000,1.489,u,2017-02-25 06:40:28,1.04,0.05,24.25
KIDS_200.0_1.5,200.000,1.489,g,2017-02-07 07:49:51,0.77,0.09,25.26
KIDS_200.0_1.5,200.000,1.489,i,2014-03-24 08:27:21,0.90,0.08,23.83
KIDS_205.0_-1.5,205.000,-1.489,i,2017-04-17 05:10:35,0.54,0.09,24.00
KIDS_180.0_-1.5,180.000,-1.489,u,2012-02-27 06:58:44,0.99,0.07,24.23
KIDS_182.5_-2.5,182.507,-2.478,u,2014-02-01 07:13:03,1.00,0.06,24.28
KIDS_182.5_-2.5,182.507,-2.478,r,2014-02-28 06:11:58,0.76,0.07,25.00
KIDS_182.5_-2.5,182.507,-2.478,i,2013-01-26 06:16:12,0.89,0.07,23.54
KIDS_181.5_2.5,181.504,2.478,g,2015-02-15 08:45:04,0.74,0.08,24.98
