Year, Article Count, Ref Count
1990,19,19
1991,32,32
1992,39,39
1993,43,43
1994,67,67
1995,55,55
1996,69,69
1997,52,52
1998,59,59
1999,47,47
2000,47,47
2001,33,33
2002,35,35
2003,29,29
2004,36,36
2005,28,28
2006,35,35
2007,35,35
2008,48,48
2009,52,52
2010,34,34
2011,50,50
2012,52,52
2013,55,55
2014,36,36
2015,52,52
2016,46,46
2017,53,53
2018,43,43
2019,51,51
