Year, Article Count, Ref Count
1992,1,1
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,1,1
2001,0,0
2002,0,0
2003,1,1
2004,1,1
2005,1,1
2006,4,4
2007,3,3
2008,2,2
2009,3,3
2010,7,7
2011,10,10
2012,8,8
2013,12,12
2014,20,20
2015,22,22
2016,28,28
2017,41,41
2018,30,30
2019,35,35
