Year, Article Count, Ref Count
1990,4,4
1991,2,2
1992,5,5
1993,6,6
1994,4,4
1995,8,8
1996,7,7
1997,10,10
1998,7,7
1999,17,17
2000,44,44
2001,68,68
2002,37,37
2003,36,36
2004,48,48
2005,39,39
2006,43,43
2007,49,49
2008,58,58
2009,65,65
2010,85,85
2011,81,81
2012,101,101
2013,115,115
2014,180,180
2015,123,123
2016,126,126
2017,175,175
2018,189,189
2019,223,223
