Year, Article Count, Ref Count
1990,58,58
1991,68,68
1992,88,88
1993,93,93
1994,114,114
1995,117,117
1996,139,139
1997,103,103
1998,188,188
1999,217,217
2000,210,210
2001,248,248
2002,314,314
2003,434,434
2004,577,577
2005,636,636
2006,767,767
2007,821,821
2008,1039,1039
2009,1153,1153
2010,1216,1216
2011,1355,1355
2012,1408,1408
2013,1361,1361
2014,1446,1446
2015,1521,1521
2016,1362,1362
2017,1417,1417
2018,1474,1474
2019,1571,1571
