Year, Article Count, Ref Count
1990,5,5
1991,4,4
1992,8,8
1993,5,5
1994,6,6
1995,5,5
1996,6,6
1997,8,8
1998,4,4
1999,5,5
2000,8,8
2001,26,26
2002,26,26
2003,23,23
2004,11,11
2005,17,17
2006,24,24
2007,20,20
2008,27,27
2009,24,24
2010,25,25
2011,25,25
2012,42,42
2013,45,45
2014,43,43
2015,47,47
2016,49,49
2017,51,51
2018,41,41
2019,35,35
