Year, Article Count, Ref Count
1990,293,293
1991,347,347
1992,359,359
1993,387,387
1994,446,446
1995,428,428
1996,460,460
1997,422,422
1998,583,583
1999,614,614
2000,580,580
2001,631,631
2002,666,666
2003,729,729
2004,892,892
2005,900,900
2006,1039,1039
2007,1030,1030
2008,1247,1247
2009,1407,1407
2010,1397,1397
2011,1510,1510
2012,1608,1608
2013,1603,1603
2014,1731,1731
2015,1768,1768
2016,1690,1690
2017,1709,1709
2018,1780,1780
2019,1803,1803
