Year, Article Count, Ref Count
1990,7,7
1991,10,10
1992,7,7
1993,11,11
1994,18,18
1995,14,14
1996,19,19
1997,17,17
1998,39,39
1999,44,44
2000,26,26
2001,19,19
2002,29,29
2003,32,32
2004,32,32
2005,34,34
2006,36,36
2007,39,39
2008,34,34
2009,33,33
2010,45,45
2011,50,50
2012,49,49
2013,62,62
2014,58,58
2015,40,40
2016,70,70
2017,85,85
2018,140,140
2019,141,141
