Year, Article Count, Ref Count
1990,1,1
1991,2,2
1992,2,2
1993,5,5
1994,5,5
1995,6,6
1996,1,1
1997,5,5
1998,10,10
1999,7,7
2000,20,20
2001,21,21
2002,31,31
2003,22,22
2004,21,21
2005,17,17
2006,22,22
2007,11,11
2008,24,24
2009,34,34
2010,39,39
2011,38,38
2012,44,44
2013,51,51
2014,68,68
2015,74,74
2016,68,68
2017,83,83
2018,121,121
2019,73,73
