Year, Article Count, Ref Count
1992,1,1
1993,1,1
1994,1,1
1995,0,0
1996,1,1
1997,0,0
1998,0,0
1999,1,1
2000,3,3
2001,2,2
2002,0,0
2003,1,1
2004,3,3
2005,5,5
2006,2,2
2007,3,3
2008,7,7
2009,9,9
2010,4,4
2011,10,10
2012,10,10
2013,27,27
2014,34,34
2015,21,21
2016,31,31
2017,57,57
2018,58,58
2019,72,72
